Date,Construction ($b),Purchase of property ($b)
Mar-04,1.753,2.624
Apr-04,1.518,2.184
May-04,1.516,2.32
Jun-04,1.762,2.257
Jul-04,1.749,2.569
Aug-04,1.646,2.23
Sep-04,1.292,2.674
Oct-04,2.848,2.728
Nov-04,1.782,2.32
Dec-04,1.314,2.481
Jan-05,1.224,2.341
Feb-05,1.275,2.262
Mar-05,1.261,2.084
Apr-05,2.521,2.559
May-05,1.845,2.116
Jun-05,1.517,1.988
Jul-05,1.905,2.378
Aug-05,1.439,4.087
Sep-05,1.776,2.27
Oct-05,1.301,2.309
Nov-05,1.434,2.395
Dec-05,2.241,2.407
Jan-06,1.389,3.067
Feb-06,2.025,2.214
Mar-06,1.681,3.039
Apr-06,1.525,2.466
May-06,1.789,3.137
Jun-06,1.423,3.749
Jul-06,1.255,2.734
Aug-06,1.77,2.718
Sep-06,3.058,2.439
Oct-06,1.676,2.911
Nov-06,2.271,3.241
Dec-06,1.807,3.148
Jan-07,1.647,3.594
Feb-07,1.451,3.958
Mar-07,2.061,3.658
Apr-07,1.455,3.578
May-07,1.292,3.051
Jun-07,2.014,5.286
Jul-07,1.84,4.705
Aug-07,3.827,5.365
Sep-07,2.3,5.519
Oct-07,2.086,5.307
Nov-07,1.238,3.341
Dec-07,1.819,5.488
Jan-08,2.831,5.089
Feb-08,2.36,5.815
Mar-08,1.131,4.575
Apr-08,2.374,4.606
May-08,1.771,4.814
Jun-08,2.009,3.178
Jul-08,3.388,3.419
Aug-08,2.029,3.012
Sep-08,1.278,3.813
Oct-08,2.198,3.189
Nov-08,1.39,3.243
Dec-08,1.572,2.462
Jan-09,1.091,2.203
Feb-09,1.386,2.289
Mar-09,1.33,1.853
Apr-09,1.219,3.685
May-09,2.986,2.246
Jun-09,2.016,2.389
Jul-09,1.329,2.212
Aug-09,1.102,2.813
Sep-09,2.872,3.426
Oct-09,1.33,2.196
Nov-09,1.506,2.585
Dec-09,1.083,2.488
Jan-10,1.298,2.688
Feb-10,1.5,2.619
Mar-10,1.223,3.078
Apr-10,1.688,3.101
May-10,1.421,2.548
Jun-10,0.949,2.903
Jul-10,1.162,4.326
Aug-10,1.37,2.919
Sep-10,1.267,2.313
Oct-10,1.003,2.867
Nov-10,1.283,1.766
Dec-10,1.15,3.182
Jan-11,1.197,2.678
Feb-11,1.26,2.633
Mar-11,1.449,2.605
Apr-11,1.033,2.566
May-11,1.611,2.963
Jun-11,1.559,2.761
Jul-11,1.464,2.913
Aug-11,1.832,2.726
Sep-11,1.636,2.261
Oct-11,1.35,2.601
Nov-11,NA,2.67
Dec-11,1.35,2.677
Jan-12,1.034,2.797
Feb-12,1.288,2.554
Mar-12,1.501,3.079
Apr-12,1.048,2.925
May-12,1.02,2.563
Jun-12,1.033,2.847
Jul-12,1.029,2.775
Aug-12,0.692,2.469
Sep-12,1.205,3.276
Oct-12,4.416,3.109
Nov-12,1.019,2.692
Dec-12,2.678,2.692
Jan-13,1.342,3.134
Feb-13,0.876,2.857
Mar-13,0.958,2.654
Apr-13,0.75,2.982
May-13,1.34,3.299
Jun-13,1.467,3.294
Jul-13,1.224,3.04
Aug-13,1.495,3.353
Sep-13,1.464,3.391
Oct-13,1.667,3.417
Nov-13,2.19,5.149
Dec-13,2.209,4.078
Jan-14,1.587,3.265
Feb-14,2.249,4.461
Mar-14,1.528,4.623
Apr-14,3.844,4.198
May-14,1.797,4.593
Jun-14,1.54,3.859
Jul-14,2.894,4.598
Aug-14,1.696,4.796
Sep-14,2.991,4.236
Oct-14,2.17,4.501
Nov-14,1.736,3.052
Dec-14,2.2,4.723
Jan-15,3.6,4.597
Feb-15,2.639,4.396
Mar-15,2.042,4.424
Apr-15,2.458,4.78
May-15,2.335,5.011
Jun-15,2.056,4.794
Jul-15,2.004,4.846
Aug-15,2.215,4.968
Sep-15,1.913,8.236
Oct-15,2.205,5.052
Nov-15,2.399,5.322
Dec-15,2.195,5.669
Jan-16,1.589,4.675
Feb-16,1.86,5.516
Mar-16,3.086,5.22
Apr-16,3.382,5.121
May-16,2.236,4.738
Jun-16,1.746,5.065
Jul-16,2.303,5.25
Aug-16,1.81,4.903
Sep-16,1.585,5.396
Oct-16,1.886,5.132
Nov-16,4.535,5.366
Dec-16,1.989,5.063
Jan-17,2.699,6.107
Feb-17,1.827,5.716
Mar-17,1.969,5.725
Apr-17,2.496,5.426
May-17,1.903,5.397
Jun-17,2.759,5.869
Jul-17,1.869,6.288
Aug-17,2.702,5.404
Sep-17,2.038,5.083
Oct-17,2.249,6.128
Nov-17,3.817,5.842
Dec-17,2.724,4.935
Jan-18,2.77,5.467
Feb-18,2.525,5.485
Mar-18,2.785,5.287
Apr-18,3.05,5.631
May-18,2.67,5.252
Jun-18,2.114,5.275
Jul-18,2.59,4.914
Aug-18,1.981,5.421
Sep-18,2.164,5.535
Oct-18,3.605,5.523
Nov-18,1.605,6.747
Dec-18,2.015,4.273
Jan-19,2.418,5.368
Feb-19,2.861,5.209
Mar-19,2.062,5.777
Apr-19,2.03,5.525
May-19,2.712,6.548
Jun-19,2.845,7.352
Jul-19,2.774,4.087
Aug-19,2.913,5.04
Sep-19,4.093,4.616
Oct-19,3.446,4.166
Nov-19,2.927,4.596
Dec-19,3.027,5.052
Jan-20,1.966,4.836
Feb-20,2.285,5.329
Mar-20,3.029,4.744
Apr-20,2.066,4.277
May-20,2.026,4.244
Jun-20,2.857,3.443
Jul-20,2.312,3.196
Aug-20,1.229,3.436
Sep-20,2.169,3.523
Oct-20,2.06,3.873
Nov-20,1.117,4.373
Dec-20,2.155,5.014
Jan-21,1.314,4.407
Feb-21,2.534,4.849
Mar-21,2.649,5.141
Apr-21,2.103,5.548
May-21,2.142,4.578
Jun-21,1.604,6.682
Jul-21,2.72,6.925
Aug-21,2.082,5.502
Sep-21,2.425,5.217
Oct-21,2.511,7.356
Nov-21,1.627,6.757
Dec-21,2.711,7.022
Jan-22,3.84,7.798
Feb-22,2.296,7.563
Mar-22,2.838,6.29